中文字詞,英文字詞,出現頻率,負責單位
輸入國,importing country,5,防檢署、食藥署
回收產品,recalling,5,食藥署(食品組)
授權食品廠,authorised establishments,5,
卡巴得,carbadox,5,防檢署、食藥署
農場動物用藥品監測計畫,on-farm veterinary drug monitoring plan,5,BAPHIQ、防檢局
動物源產品,products of animal origin,5,
陽性與陰性對照,positive and negative assay controls,5,TFDA、食藥署(監管組)
抽樣計畫,sampling plan,5,防檢署、食藥署(中區管理中心)
地方衛生局,Local County/City Health Bureaus,5,
澳洲相關要求,Relevant Australian requirements,5,
殘留物監控計畫,residue control plan,5,
後市場蛋品殘留物監測計畫,post-market residue monitoring plan for eggs products,5,TFDA
不合格產品,non-compliance products,5,食藥署(食品組)
衛生管理人員,sanitation control personnel,5,
產品流向,flow of the product,5,
結晶紫,crystal violet,5,
官方樣品,official samples,5,三區管理中心、漁業署、食藥署
ISO 17025 認證,ISO 17025 accreditation,5,
動植物防疫檢疫局,Bureau of Animal and Plant Health Inspection and Quarantine (BAPHIQ),5,動植物防疫檢疫局
官方樣本,official samples,5,
乳與乳製品,milk and dairy products,5,
地方政府衛生機關,local governmental health authorities,5,
營養,nutrition,5,TFDA
歐盟最大殘留限量,EU MRL,5,食藥署
獸醫公共衛生,veterinary public health,5,
後市場蛋品殘留物監測計畫,post-market residue monitoring plan,5,TFDA
人類消費,human consumption,5,防檢署
食品安全衛生規定,food safety and sanitation regulations,5,
國家容許量,national tolerance,5,
外銷水產品衛生安全管理系統驗證實施辦法,Regulations Governing Implementation of Hygiene and Safety Management System Certification of Fishery Products for Export,5,標準局
動物源性產品,products of animal origin,4,
ALARA原則,ALARA principle,4,
隨機取樣,random sampling,4,中區管理中心、防檢署
水產品加工廠,Aquatic product processing plants,4,食品組
檢驗方法,testing methods,4,漁業署、研檢組
品質保證,quality assurance,4,食品藥物管理署、食藥署
研檢組,Division of Research and Analysis,4,漁業署、研檢組
檢驗實驗室,testing laboratories,4,食藥署(北區管中心)
品保制度,quality assurance system,4,食藥署(食品組)
輸出動物產品檢疫證明書,Veterinary Certificate for Export of Animal Products,4,防檢局
衛生檢查,hygiene inspection,4,
行政院農業委員會,Council of Agriculture (COA),4,
不符規定之產品,non-conforming products,4,三區管中心、食品組
食品安全檢查署,FSIS,4,防檢局
水產加工廠,aquatic product processing plants,4,
殘留管制,residues controls,4,
地方動物疾病檢疫機關,Local Animal Disease Inspection Authorities (LADIAs),4,
賀爾蒙,hormones,4,防檢署
法律依據,Legal basis,4,
標示,labeling,4,衛生福利部食品藥物管理署、食藥署
系統性查核,systematic inspection,4,衛生福利部食品藥物管理署、食藥署
未上市水產品產地監測計畫,The Quality and Hygienic Condition Surveillance of Fisheries Products on Fish Farms and Vessels,4,漁業署
食品衛生安全管理體系,food safety management system,4,
獸醫證明書,veterinary certificate,4,BAPHIQ
食品業者登錄規定,food business registration,4,
GHP,Regulations on Good Hygiene Practice for Food (GHP),4,
中央主關機關,central competent authority,4,
中央畜產會,NAIF,4,
台灣認證基金會,Taiwan Accreditation Foundation (TAF),4,中區管理中心、防檢署
食品藥物業者登錄平台,Food and Medicinal Products Business Registration Platform,4,食品組
預煮鹹鴨蛋蛋黃,Pre-cooked salted duck eggs yolk,4,
皮蛋,Preserved duck eggs,4,
加工廠,processing plant,4,
乳及乳製品,milk and dairy products,4,
動植物防疫檢疫署,Animal and Plant Health Inspection Agency (APHIA),4,動植物防疫檢疫署
外銷水產品特約檢驗辦法,Regulations Governing Contracted Inspection for Fishery Products Intent for Export,4,標檢局、標準局
飼料工廠,Feed plants,4,三區管中心、漁業署、防檢署、食品組
肉品檢驗,meat inspection,4,
稽查,inspection,4,三區管中心、食品組
食品產品,food products,4,
行政院食品安全會報,Food Safety Board under Executive Yuan,4,
食品安全評估工作小組,Food safety assessment working groups,4,
輸入食品及藥物申請報驗作業流程圖,Flow chart of imported food and drug inspection application,4,TFDA
出口衛生證明,export health certificate,4,北區管理中心、標準局、防檢署、食藥署(北區管理中心)
冷凍食品衛生標準,Sanitation Standard for Frozen Foods,4,
食品規範,Food Regulations,4,TFDA
動物用藥殘留標準,standards for veterinary drug residues,4,APHIA
抽批查驗,randomly-selected batch inspections,4,
食品安全管理體系,food safety management system,4,
食物中毒,food poisoning,4,
氯仿,chloroform,4,
氯丙嗪,chlorpromazine,4,
水產副產品,aquatic by-products,4,
食品,the Food,4,三區管中心、漁業署、防檢署、食品組
最大殘留容許量,maximum residue limits (MRLs),4,TFDA
主管部門,competent authorities,4,
化學殘留物,chemical residue,4,食品藥物管理署
實驗室,laboratory,4,食藥署
品質系統,quality system,4,
食品檢驗方法諮議會,Council Advisory Committee of Food Testing Methods,4,三區管理中心
動物性產品,animal products,4,三區管中心、漁業署、食品藥物管理署、食藥署
地方縣(市)衛生局,Local County/City Health Bureaus,4,
衛生標準,sanitation standard,4,TFDA
邊境輸入食品,imported foods from the border,4,TFDA
國內市售食品,commercial foods in domestic market,4,TFDA
食品添加物與成分,food additives and ingredients,4,TFDA
食品微生物學,food microbiology,4,TFDA
仿冒食品,fraudulent foods,4,TFDA
食品器具、容器與包裝,"food utensils, containers and packages",4,TFDA
食品重金屬量,heavy metals in foods,4,TFDA
食品黴菌毒素,mycotoxins in foods,4,TFDA
食源性病毒,foodborne viruses,4,TFDA
分析品管,Analytical quality control (AQC),4,TFDA
認可範圍,scope of accreditation,4,中區管理中心、品質監督管理組、防檢署
回收,recalled,4,TFDA
衛生主管機關,competent health authorities,4,
農政機關,agricultural authorities,4,三區管中心、食品組
抗菌物質,antimicrobial substances,4,防檢署
實驗室檢驗分析,laboratory related test analysis,4,TFDA
輸出,exporting,4,
加工,processing,4,
食品良好衛生規範,GHP,4,
法規 (EU) 2021/405,Regulation (EU) 2021/405,4,
法規 (EU) 2022/2292,Regulation (EU) 2022/2292,4,
農藥殘留物,pesticides residues,4,
甲狀腺亢進藥,thyrostats,4,防檢署
沙門氏桿菌,Salmonella,4,防檢局
腸桿菌科,Enterobacteriaceae,4,
病原性生物,pathogenic organisms,4,食藥署(食品組6科)
官方管制措施,official controls,4,
農藥殘留,pesticide residue,4,
動物防疫檢疫署,APHIA,4,APHIA、防檢署
抗球蟲藥殘留,coccidiostat residues,4,食藥署
醬油,soy sauce,4,監管組
食品添加物管理,food additives management,4,
硝基呋喃,Nitrofurans,4,防檢局、防檢署
動物用藥品殘留,veterinary drug residue,4,APHIA
農業部,COA,4,BAPHIQ
出口食品,exported food products,4,食藥署
殘留物監控計畫,residue control plans,4,
檢驗項目,test items,4,TFDA、食藥署
採樣計畫,sampling plan,4,TFDA、食藥署
歐盟最大殘留限量,EU MRLs,4,食藥署
多氯聯苯,PCBs,4,農業部、食藥署
乳品及乳製品,dairy and dairy products,4,防檢局、食藥署
牛源產品,products of bovine origin,4,
食品衛生安全與營養諮議會,"Food Sanitation, Safety and Nutrition Advisory Committee",4,TFDA、食品藥物管理署、食藥署(食品組1科)
上市後監測計畫,post-market surveillance program,4,TFDA
衛生主管機關,Health Authority,4,
食品藥物管理署區管中心,Regional Administration Centers of TFDA,4,食品藥物管理署
肉類加工食品業者,meat processing establishments,4,食品藥物管理署
歐盟法規,Regulation (EU),4,TFDA
豬肉,pork,4,防檢局
Regulation (EU) 2022/1644,Regulation (EU) 2022/1644,4,
食品之良好衛生規範準則,Regulations on Good Hygiene Practice for Food (GHP),4,三區管中心、漁業署
原產國,country of origin,4,
動植物防疫檢疫局,BAPHIQ,4,動植物防疫檢疫局
矯正及防止再發生之措施,corrective and preventive measures,4,食藥署(食品組)
食品安全與衛生,food safety and sanitary,4,
蛋製品,Egg products,4,
NRP,NRP,4,防檢署、食藥署
廣告,advertisement,4,TFDA
理事會指令 96/23/EC,Council Directive 96/23/EC,4,
區域整合實驗室檢驗系統,Regional Integrated Laboratory Testing System,4,
活體動物,live animals,4,
地方縣市衛生局,Local County/City Health Bureaus,4,
Commission Decision 98/179/EC,Commission Decision 98/179/EC,4,
食品加工廠,food processing plants,4,漁業署、食品組
官方抽樣,official sampling,4,
邊境,borders,4,三區管中心、食品組
乳品加工廠,dairy processing establishments,4,
鰭魚,fin fish,4,
沒入銷毀,confiscated and destroyed,4,三區管理中心、漁業署、食品組
食品事業經營者,food business operators,4,APHIA
雞蛋,chicken eggs,4,防檢署
食品安全衛生管理法,Food Safety and Sanitation Management Act,4,三區管理中心、漁業署
稽核,auditing,4,TFDA、衛生福利部食品藥物管理署
取樣,sampling,4,防檢局
農業主管機關,agricultural authorities,4,
病原體,pathogens,4,
生乳,raw milk,4,
肉類加工食品,meat processing food,4,
官方(獸醫)服務部門,official (veterinary) services,4,
官方管控措施,official controls,4,
召回,recalled,4,
地方縣（市）衛生局,Local County/City Health Bureaus,4,
食品製造業者,FBOs,4,食藥署
獸藥產品,veterinary medicinal products,4,
輸銷歐盟食品管理作業規範,Direction on Exporting Food Products to the European Union Countries,4,食藥署
公共衛生,public health,4,
食品組,Divisions of Food Safety,4,
生物科學,biological sciences,4,TFDA
官方獸醫,official veterinarians,4,
檢驗與查核,testing and inspection,4,TFDA
驗證狀態,validation status,4,
抽樣,sampling,4,地方政府衛生局、防檢局
動物商品,animal commodities,4,防檢署
篩選和/或確認分析方法,screening and/or confirmatory analytical methods,4,
最大殘留容許量,maximum residue limit,4,
食品追蹤追溯,food traceability,4,TFDA、衛生福利部食品藥物管理署
RTE 產品,RTE products,4,
責任廠商,responsible manufacturers,4,
回收銷毀,recall and destruction,4,
蛋,eggs,4,BAPHIQ
食品衛生安全管理,food sanitation and safety management,4,TFDA、北區管理中心、防檢署
單核細胞增生李斯特菌,Listeria monocytogenes,4,TFDA
原料來源,source of raw material,4,
加工產品,processed products,3,漁業署
食源性疾病,foodborne disease,3,
責任廠商,Responsible Manufacturer,3,
食品良好衛生規範準則,Regulations on Good Hygiene Practice (GHP) for Food,3,TFDA、三區管中心、漁業署
食品查核及管制,food examination and control,3,TFDA、三區管中心、漁業署
禁用藥物,prohibited substances,3,中區管理中心、防檢署、食藥署
食品安全管制系統,HACCP system,3,防檢局
檢驗機關,testing agency,3,
召回,recall,3,
監控措施,regulatory controls,3,
衛生證明,Sanitary Certificate,3,
檢驗報告,Test Report,3,
衛生福利主管機關,health and welfare authority,3,
水產養殖魚類與甲殼類、蜂蜜、乳製品及蛋類,"aquaculture finfish and crustaceans, honey, dairy and eggs",3,
BSMI,BSMI,3,BSMI
台灣良好農業規範,Taiwan Good Agricultural Practice (TGAP),3,
APHIA,APHIA,3,APHIA
蜂蜜殘留管制計畫,Honey residue control program,3,
衛生福利部食品藥物管理署,"Food and Drug Administration (TFDA), Ministry of Health and Welfare (MOHW)",3,
後市場食品監測,post-marketing surveillance of food products,3,三區管中心、食品組
動物用藥,veterinary drug,3,衛生福利部食品藥物管理署
水產用藥指南,The guidelines for use of drugs in aquaculture,3,
養殖動物,food-producing aquatic animals,3,
檢驗機關（構）,inspection agencies (institutions),3,動植物防疫檢疫局
能力試驗,ability verified,3,防檢局
水產品,Fishery products,3,國貿署、衛生福利部食品藥物管理署、食品組
邊境衛生管制,border sanitary control,3,衛生福利部食品藥物管理署、食藥署
污染物質,contaminants,3,衛生福利部食品藥物管理署、食藥署
官方衛生證明文件,official health certificate,3,衛生福利部食品藥物管理署、食藥署
權利義務規章,Regulations on rights and obligations,3,TFDA
TAF,TAF,3,TFDA
地方衛生局,local (city/county) health bureaus,3,防檢局
國際標準,international standards,3,
民間實驗室,private testing laboratories,3,北區管理中心、漁業署、研檢組
